id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
10079,Unisex,Footwear,Sandal,Sandals,Black,Fall,2011,Casual,Reebok Unisex Twist Black Sandals
10080,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,Reebok Men Run Sheer Black Sports Shoes
10081,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Reebok Men Zigdynamic White Sports Shoes
10082,Women,Footwear,Shoes,Sports Shoes,Grey,Fall,2011,Sports,Reebok Women Aviator Grey Sports Shoes
10083,Men,Footwear,Flip Flops,Flip Flops,Green,Fall,2011,Casual,Reebok Men Hanavi II Green Flip Flops
10088,Men,Footwear,Shoes,Sports Shoes,Silver,Fall,2011,Sports,Reebok Men Racehound Silver Sports Shoes
10089,Women,Footwear,Shoes,Sports Shoes,Silver,Fall,2011,Sports,Reebok Women Raceon Silver Sports Shoes
10092,Men,Footwear,Shoes,Sports Shoes,Silver,Fall,2011,Sports,Reebok Men Racehound Silver Sports Shoes
10093,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Reebok Men Racehound White Sports Shoes
10095,Men,Footwear,Shoes,Sports Shoes,Blue,Fall,2011,Sports,Reebok Men Reeflex Run Blue Sports Shoes
10096,Women,Footwear,Shoes,Sports Shoes,Blue,Fall,2011,Sports,Reebok Women Reeflex Run Blue Sports Shoes
10097,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Reebok Men Reeflex Run White Sports Shoes
10098,Men,Accessories,Watches,Watches,White,Winter,2016,Casual,Fastrack Men Analogue Plastic White Watch
10099,Men,Accessories,Watches,Watches,Grey,Winter,2016,Casual,Fastrack Men Analogue Grey Watches
10101,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,Reebok Men Island Explorer Black Sports Shoes
10102,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,Reebok Men Premier Verona Supreme 2 Black Sports Shoes
10104,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,Reebok Men Buckets VI Black Sports Shoes
10105,Women,Accessories,Watches,Watches,Steel,Winter,2016,Casual,Fastrack Women Analogue Leather Steel Watches
10106,Women,Accessories,Watches,Watches,Steel,Winter,2016,Casual,Fastrack Women Essentials Steel Watches
10107,Men,Accessories,Watches,Watches,Steel,Winter,2016,Casual,Fastrack Men Analogue Leather Steel Watches
10108,Women,Accessories,Watches,Watches,Steel,Winter,2016,Casual,Fastrack Women Denim Analogue Steel Watches
10109,Women,Accessories,Watches,Watches,Steel,Winter,2016,Casual,Fastrack Women Denim Analogue Steel Watch
10110,Women,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Reebok Women Instant White Sports Shoes
10111,Men,Footwear,Shoes,Sports Shoes,Silver,Fall,2011,Sports,Reebok Men Premier road supreme 2 Silver Sports Shoes
10112,Women,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Reebok Women Premier Zigfly White Sports Shoes
10113,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Reebok Men Run Sheer White Sports Shoes
10114,Unisex,Footwear,Sandal,Sports Sandals,Black,Fall,2013,Casual,Reebok Unisex Black Sports Sandals
10115,Unisex,Footwear,Sandal,Sandals,Grey,Fall,2011,Casual,Reebok Unisex Adventure Sports Grey Sandals
10117,Men,Footwear,Shoes,Sports Shoes,Silver,Fall,2011,Sports,Reebok Men Premier Zigfly Silver Sports Shoes
10122,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Reebok Men Run Sheer White Sports Shoes
10125,Women,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Reebok Women Premier Zigfly White Sports Shoes
10126,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Reebok Men Runtone Action White Sports Shoes
10127,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011,Casual,Rockport Men Espresso Brown Casual Shoes
10128,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011,Formal,Rockport Men Drsp Wingtip Black Formal Shoes
10129,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011,Formal,Rockport Men Jefford Brown Formal Shoes
10130,Women,Accessories,Watches,Watches,Steel,Winter,2016,Casual,Esprit Women Pure E-Ffect Black Steel Watches
10131,Women,Accessories,Watches,Watches,Steel,Winter,2016,Casual,Esprit Women Romain Brown Steel Watches
10133,Women,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Esprit Women Rough Chic Black Silver Watches
10134,Women,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Esprit Women Lissomy Glam Black Silver Watches
10135,Women,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Esprit Women Lissomy Glam White Silver Watches
10136,Women,Accessories,Watches,Watches,Steel,Winter,2016,Casual,Esprit Women Pure Vitality Black Steel Watches
10137,Women,Accessories,Watches,Watches,Steel,Winter,2016,Casual,Esprit Women Lissomy Brown Steel Watches
10138,Women,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Esprit Women Spark Pink Silver Watches
10139,Women,Accessories,Watches,Watches,Steel,Winter,2016,Casual,Esprit Women Cool Chic Night Steel Watch
10140,Women,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Esprit Women Rocks Houston Black Silver Watches
10141,Women,Accessories,Watches,Watches,Gold,Winter,2016,Casual,Esprit Women Houston White Gold Links Gold Watches
10142,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011,Casual,Rockport Men Captoe Brown Casual Shoes
10143,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011,Formal,Rockport Men Moc Front Brown Formal Shoes
10144,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011,Casual,Rockport Men Drsp Wingtip Brown Casual Shoes
10145,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011,Formal,Rockport Men Drsp Wingtip Brown Formal Shoes
10146,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011,Formal,Rockport Men Drsp Moc Front Black Formal Shoes
10147,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011,Formal,Rockport Men Ed Plaintoe Black Formal Shoes
10148,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011,Casual,Rockport Men Sc Slip On Brown Casual Shoes
10149,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011,Formal,Rockport Men Ed Plaintoe Brown Formal Shoes
10150,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011,Formal,Rockport Men Drsp Plaintoe Black Formal Shoes
10151,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011,Formal,Rockport Men Drsp Slip On Black Formal Shoes
10152,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,Rockport Men TR Bal Black Casual Shoes
10153,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011,Formal,Rockport Men Drsp SLip On Brown Formal Shoes
10154,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011,Casual,Rockport Men Bal Brown Casual Shoes
10155,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011,Casual,Rockport Men Tr Bal Brown Casual Shoes
10156,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011,Casual,Rockport Men Sc Slip On Brown Casual Shoes
10157,Unisex,Footwear,Flip Flops,Flip Flops,Blue,Fall,2011,Casual,Puma Unisex Puma Flips Blue Flip Flops
10158,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,Puma Men 917 Lo Feuer Black Casual Shoes
10159,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Puma Men 917 Mid Spill White Casual Shoes
10160,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Puma Men 917 Lo Paint Splatter White Casual Shoes
10161,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Puma Men Cabana Racer White Sports Shoes
10162,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Puma Men 917 Lo Paint Splatter White Casual Shoes
10164,Men,Accessories,Watches,Watches,Green,Winter,2016,Casual,Carrera Men Green strap witrh green dial Green Watches
10166,Men,Footwear,Flip Flops,Flip Flops,Red,Fall,2011,Casual,United Colors of Benetton Men Carribean Red Flip Flops
10167,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,United Colors of Benetton Men Nighthawk Black Casual Shoes
10168,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,United Colors of Benetton Men Punk Black Casual Shoes
10169,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011,Casual,United Colors of Benetton Men HIghlander Brown Casual Shoes
10170,Men,Footwear,Shoes,Casual Shoes,Blue,Fall,2011,Casual,United Colors of Benetton Men Highlander Grey Blue Casual Shoes
10171,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011,Formal,United Colors of Benetton Men vertigo Brown Shoes
10172,Men,Footwear,Shoes,Casual Shoes,Grey,Fall,2011,Casual,United Colors of Benetton Men Iceland Grey Casual Shoes
10173,Men,Footwear,Sandal,Sandals,Brown,Fall,2011,Casual,United Colors of Benetton Men Tango Brown Sandals
10174,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,United Colors Of Benetton Men Latnam Black Casual Shoes
10175,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,United Colors of Benetton Men Wango Black Casual Shoes
10176,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,United Colors of Benetton Men Cloud 9 Black Casual Shoes
10177,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011,Casual,United Colors Of Benetton Men Cboar Brown Casual Shoes
10178,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011,Casual,United Colors of Benetton Men Bournie Brown Casual Shoes
10179,Men,Footwear,Flip Flops,Flip Flops,Blue,Fall,2011,Casual,United Colors of Benetton Men Speeder Blue Flip Flops
10180,Men,Footwear,Flip Flops,Flip Flops,Yellow,Fall,2011,Casual,United Colors of Benetton Men Speeder Yellow Flip Flops
10181,Women,Accessories,Watches,Watches,Black,Winter,2016,Casual,Puma Women Pliancy Black Watches
10182,Women,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Puma Women Style Cat White Casual Shoes
10183,Women,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Puma Women Future Cat Ballistic Jr White Casual Shoes
10184,Men,Apparel,Topwear,Shirts,White,Fall,2011,Casual,Indigo Nation Men  White Stripe Shirt
10185,Men,Apparel,Topwear,Shirts,White,Fall,2011,Casual,Indigo Nation Men Price catch White Shirts
10186,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,Indigo Nation Men Black & Blue Stripe Shirt
10187,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,Indigo Nation Men Hot Stepper Black Blue Shirts
10188,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Indigo Nation Men   Blue & White Stripe Shirt
10189,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Indigo Nation Men Hot Stepper Blue Shirts
10190,Men,Apparel,Topwear,Shirts,White,Fall,2011,Casual,Indigo Nation Men Club Poplin White Shirts
10192,Men,Accessories,Watches,Watches,Steel,Winter,2016,Casual,Esprit Men Avalance Black Steel Watches
10193,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Carrera Men Dial Green Numbers Black Watch
10194,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Carrera Men Sqaure dial leather strap Black Watches
10195,Men,Accessories,Watches,Watches,Blue,Winter,2016,Casual,Carrera Men Steel strap dial Blue Watches
10196,Women,Accessories,Bags,Handbags,Green,Winter,2015,Casual,Murcia Women Hddcs Green Handbags
10197,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Hddcs Brown Handbags
10198,Women,Accessories,Bags,Handbags,Beige,Winter,2015,Casual,Murcia Women Hddcs Beige Handbags
10199,Women,Accessories,Bags,Handbags,Black,Winter,2015,Casual,Murcia Women Emma Black Handbags
10200,Women,Accessories,Bags,Handbags,Beige,Winter,2015,Casual,Murcia Women Emma Beige Handbags
10202,Women,Accessories,Bags,Handbags,Green,Winter,2015,Casual,Murcia Women Asjke Green Green Handbags
10203,Women,Accessories,Bags,Handbags,Red,Winter,2015,Casual,Murcia Women Hahk Red Handbags
10204,Women,Accessories,Bags,Handbags,Purple,Winter,2015,Casual,Murcia Women Hahk Purple Handbags
10205,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Rubena Brown Handbags
10207,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Hths Brown Handbags
10208,Women,Accessories,Bags,Handbags,Blue,Winter,2015,Casual,Murcia Women Hths Blue Handbags
10209,Women,Accessories,Bags,Handbags,Grey,Winter,2015,Casual,Murcia Women Kkhh Grey Handbags
10210,Women,Accessories,Bags,Handbags,Red,Winter,2015,Casual,Murcia Women Kkhh Red Handbags
10211,Women,Accessories,Bags,Handbags,Grey,Winter,2015,Casual,Murcia Women Lambretta Grey Handbags
10213,Women,Accessories,Bags,Handbags,Black,Winter,2015,Casual,Murcia Women Hahk Black Handbags
10214,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Rubena Brown Handbags
10215,Women,Accessories,Bags,Handbags,Purple,Winter,2015,Casual,Murcia Women Hths Purple Handbags
10216,Women,Accessories,Bags,Handbags,Green,Winter,2015,Casual,Murcia Women Hths Green Handbags
10217,Women,Accessories,Bags,Handbags,Pink,Winter,2015,Casual,Murcia Women Kkhh Pink Handbags
10219,Men,Accessories,Watches,Watches,Yellow,Winter,2016,Casual,Carrera Men Strap dial Yellow Watches
10220,Women,Accessories,Bags,Handbags,Pink,Winter,2015,Casual,Murcia Women Mary Pink Handbags
10221,Women,Accessories,Bags,Handbags,Green,Winter,2015,Casual,Murcia Women Emma Green Handbags
10222,Women,Accessories,Bags,Handbags,Grey,Winter,2015,Casual,Murcia Women Zoe Grey Handbags
10223,Women,Accessories,Bags,Handbags,Green,Winter,2015,Casual,Murcia Women Zoe Green Handbags
10224,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Asjke Brown Brown Handbags
10225,Women,Accessories,Bags,Handbags,Beige,Winter,2015,Casual,Murcia Women Hahk Beige Handbags
10226,Women,Accessories,Bags,Handbags,Black,Winter,2015,Casual,Murcia Women Rubena Black Handbags
10227,Women,Accessories,Bags,Handbags,Purple,Winter,2015,Casual,Murcia Women SLB Bag Purple Handbags
10228,Women,Accessories,Bags,Handbags,Green,Winter,2015,Casual,Murcia Women SLB Bag Green Handbags
10229,Women,Accessories,Bags,Handbags,Black,Winter,2015,Casual,Murcia Women Hths Black Handbags
10230,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Claudia Brown Handbags
10231,Women,Accessories,Bags,Handbags,Red,Winter,2015,Casual,Murcia Women Claudia Red Handbags
10235,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Carrera Men Hexagaon Dial Black Watches
10236,Men,Accessories,Watches,Watches,Orange,Winter,2016,Casual,Carrera Men Strap dial Orange Watches
10237,Men,Accessories,Watches,Watches,Steel,Winter,2016,Casual,Esprit Men Croso Black Steel Watch
10238,Men,Accessories,Watches,Watches,Steel,Winter,2016,Casual,Esprit Men Axis Day Steel Watches
10239,Men,Accessories,Watches,Watches,Steel,Winter,2016,Casual,Esprit Men Grand Victory White Dial Steel Watches
10240,Men,Accessories,Watches,Watches,Copper,Winter,2016,Casual,Esprit Men Gran Orbit Rosegold Copper Watches
10241,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Esprit Men Momentum Black Black Watches
10242,Women,Accessories,Bags,Handbags,Grey,Winter,2015,Casual,Murcia Women Mary Grey Handbags
10243,Women,Accessories,Bags,Handbags,Red,Winter,2015,Casual,Murcia Women Emma Red Handbags
10244,Women,Accessories,Bags,Handbags,Beige,Winter,2015,Casual,Murcia Women Emma Beige Handbags
10245,Women,Accessories,Bags,Handbags,Green,Winter,2015,Casual,Murcia Women TMK Green Green Handbags
10246,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Zoe Brown Handbags
10247,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Zoe Brown Handbags
10248,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Asjke Coffee Brown Handbags
10249,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Hahk Brown Handbags
10250,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Hahk Brown Handbags
10252,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women SLB Bag Brown Handbags
10253,Women,Accessories,Bags,Handbags,Green,Winter,2015,Casual,Murcia Women Claudia Green Handbags
10254,Women,Accessories,Bags,Handbags,Grey,Winter,2015,Casual,Murcia Women Hddcs Grey Handbags
10255,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Locomotive Men Stripes Blue Shirts
10256,Men,Apparel,Topwear,Shirts,Green,Fall,2011,Casual,Locomotive Men Stripes Green Shirts
10257,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011,Formal,John Miller Men Solid Type Black Trousers
10258,Men,Apparel,Bottomwear,Trousers,Navy Blue,Fall,2011,Formal,John Miller Men Line Navy Blue Trousers
10259,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011,Formal,John Miller Men Reglur Black Trousers
10260,Men,Apparel,Bottomwear,Trousers,Grey,Fall,2011,Formal,John Miller Men Line Grey Trousers
10261,Men,Apparel,Bottomwear,Trousers,Brown,Fall,2011,Formal,John Miller Men Slim Brown Trousers
10262,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011,Formal,John Miller Men Black Trousers
10263,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2013,Formal,Clarks Men Energise Me Leather Black Formal Shoes
10264,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2013,Formal,Clarks Men Goya Band Leather Black Formal Shoes
10265,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2012,Formal,Clarks Men Goto Eat Tobacco Leather Brown Formal Shoes
10266,Men,Footwear,Shoes,Casual Shoes,Brown,Fall,2011,Casual,Clarks Men Goto Hi Cola Suede Brown Shoes
10267,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,Clarks Men Rocco Fuse Black Leather Black Casual Shoes
10268,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2012,Formal,Clarks Men Hang Work Leather Black Formal Shoes
10269,Women,Footwear,Shoes,Flats,Red,Winter,2013,Casual,Clarks Women Silvi Spice Raspberry Leather Red Flats
10270,Women,Footwear,Shoes,Flats,Silver,Fall,2012,Casual,Clarks Women Shona Fringe Leather Silver Flats
10271,Women,Footwear,Shoes,Heels,Red,Fall,2012,Casual,Clarks Women Sona Silk Leather Red Heels
10272,Women,Footwear,Shoes,Heels,Grey,Fall,2012,Casual,Clarks Women Soma Silk Graphite Leather Grey Heels
10273,Men,Footwear,Sandal,Sandals,Black,Summer,2016,Casual,Clarks Men Black Leather Closed Sandals
